subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Ashpole Swamp,030402031303,Ashpole Swamp,0304020313,Lumber,03040203,Lumber,030402,030402031404,4.056030999558675,2595.859839380789708,,238,191,21209.419588991226192,15448814.046725558117032,10504992.464672081172466,0.0000000
Headwaters Gapway Swamp,030402031401,Outlet Lumber River,0304020314,Lumber,03040203,Lumber,030402,030402031403,36.725937697275775,23504.600123207233992,,1749,1327,58660.671592625323683,139578410.230846703052521,95117559.079953640699387,0.0000000
Hook Branch-Gapway Swamp,030402031403,Outlet Lumber River,0304020314,Lumber,03040203,Lumber,030402,030402031404,1.664658963944519,1065.381736786279589,,79,60,17774.234844614609756,6329928.539048310369253,4311407.112437498755753,0.0000000
Lumber River,030402031404,Outlet Lumber River,0304020314,Lumber,03040203,Lumber,030402,030402040803,7.455882552703323,4771.764833111083135,,331,262,23367.942331116602872,28375579.038654737174511,19310443.853914231061935,0.0000000
Headwaters Gum Swamp Creek,030402040101,Upper Little Pee Dee River,0304020401,Little Pee Dee,03040204,Lumber,030402,030402040102,33.660460323274400,21542.694604100874130,,1981,1570,61170.549464415365946,130008501.503166764974594,87180191.954612433910370,48.7606430
Upper Gum Swamp Creek,030402040102,Upper Little Pee Dee River,0304020401,Little Pee Dee,03040204,Lumber,030402,030402040104,20.823763360278726,13327.208548849439467,,1574,1271,41862.716079853722476,80283764.354902356863022,53933299.116633869707584,11.9819460
Joes Creek,030402040103,Upper Little Pee Dee River,0304020401,Little Pee Dee,03040204,Lumber,030402,030402040104,33.992596955021483,21755.262048391428834,,3215,2820,73722.981119395160931,130975483.237837731838226,88040421.806201577186584,3.7177634
Middle Gum Swamp Creek,030402040104,Upper Little Pee Dee River,0304020401,Little Pee Dee,03040204,Lumber,030402,030402040105,19.319221790490932,12364.301944310169347,,2755,2646,41383.809569727032795,74381513.854354500770569,50036554.700404822826385,0.0000000
Lower Gum Swamp Creek,030402040105,Upper Little Pee Dee River,0304020401,Little Pee Dee,03040204,Lumber,030402,030402040106,18.932647134908308,12116.894164769388226,,5738,5583,50348.596396685978107,72757855.848561063408852,49035314.686363369226456,0.0000000
Beaverdam Creek,030402040106,Upper Little Pee Dee River,0304020401,Little Pee Dee,03040204,Lumber,030402,030402040107,11.395269554344592,7292.972513834419260,,1317,1056,45351.338817863950680,43802490.768668703734875,29510451.731163591146469,0.0000000
Headwaters Leith Creek,030402040201,Leith Creek,0304020402,Little Pee Dee,03040204,Lumber,030402,030402040202,28.943227420484771,18523.665546707172325,,7219,6825,75911.175042442730046,111366476.794653534889221,74962614.804533839225769,0.0000000
Bridges Creek,030402040202,Leith Creek,0304020402,Little Pee Dee,03040204,Lumber,030402,030402040203,15.994665396311738,10236.585852311516646,,5906,5753,47205.960921448211593,61495648.864219419658184,41425993.283955320715904,0.0541728
Leith Creek,030402040203,Leith Creek,0304020402,Little Pee Dee,03040204,Lumber,030402,030402040501,27.639995186292559,17689.596916932357999,,1717,1966,65522.084905253846955,106061223.874246433377266,71586556.650348350405693,0.0525933
Jordan Creek,030402040301,Shoe Heel Creek,0304020403,Little Pee Dee,03040204,Lumber,030402,030402040302,19.356406834596466,12388.100372534623602,,870,692,75423.336729558694060,74672041.706393808126450,50132863.672161698341370,20.2813835
Juniper Creek,030402040302,Shoe Heel Creek,0304020403,Little Pee Dee,03040204,Lumber,030402,030402040303,36.888646364215298,23608.733670035016985,,1701,1474,81535.973640795040410,142326640.192554563283920,95541155.391596823930740,19.8591881
Headwaters Shoe Heel Creek,030402040303,Shoe Heel Creek,0304020403,Little Pee Dee,03040204,Lumber,030402,030402040305,21.891839878132160,14010.777520186957190,,1024,1070,62433.502832762329490,84447379.006593078374863,56699604.913465388119221,5.0206609
Wilkinson Creek,030402040304,Shoe Heel Creek,0304020403,Little Pee Dee,03040204,Lumber,030402,030402040305,33.785858455799662,21622.949408906632016,,2078,1766,62010.217276847826724,129529129.191254407167435,87504972.306275174021721,0.0000000
