subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Little Grassy Creek,030101020801,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020802,24.165525149859583,15465.936093903730580,1343,1296,1233,52997.789929206825036,96853001.126947969198227,62588423.194919683039188,0.0000000
Mountain Creek-Grassy Creek,030101020802,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020804,36.847178586682404,23582.194292417410907,1170,1458,1314,73567.107057320405147,147747572.537952005863190,95433753.787366911768913,0.0000000
Beech Creek-Johnson Creek,030101020803,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020804,25.382508473154800,16244.805420711625629,791,1017,945,51366.961439329083078,101959428.060530260205269,65740395.258071593940258,0.0000000
Spewmarrow Creek-Grassy Creek,030101020804,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020805,23.315812032052396,14922.119698577680538,941,921,869,52368.857884092307359,93637078.697923019528389,60387675.326865740120411,0.0000000
Black Creek-Grassy Creek,030101020805,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020806,0.578881415784642,370.484106054107940,6,23,22,7653.000934504847464,2327004.032522260211408,1499295.929709838470444,0.0000000
Beaver Pond Creek-Grassy Creek,030101020806,Grassy Creek-John H Kerr Reservoir,0301010208,Middle Roanoke,03010102,Roanoke,030101,030101020903,7.491567165119000,4794.602985054154487,169,296,279,29473.973368110950105,30101490.275041934102774,19403069.815032176673412,0.0000000
Little Island Creek,030101020901,Butcher Creek-John H Kerr Reservoir,0301010209,Middle Roanoke,03010102,Roanoke,030101,030101020902,21.185608040874051,13558.789144400407167,1037,1384,1211,52861.897703826951329,85004726.710261538624763,54870472.732356585562229,0.0000000
Island Creek,030101020902,Butcher Creek-John H Kerr Reservoir,0301010209,Middle Roanoke,03010102,Roanoke,030101,030101020903,45.809098066597400,29317.822758818922011,1760,2305,2094,98589.090001972712344,183769052.036927789449692,118645019.798155650496483,0.0000000
Anderson Creek-Mill Creek,030101021001,Nutbush Creek-John H Kerr Reservoir,0301010210,Middle Roanoke,03010102,Roanoke,030101,030101021002,20.860110626285277,13350.470799090615401,2069,2210,1927,49581.579383764641534,83592557.749920338392258,54027439.170525982975960,0.0000000
Headwaters Nutbush Creek,030101021002,Nutbush Creek-John H Kerr Reservoir,0301010210,Middle Roanoke,03010102,Roanoke,030101,030101021003,48.157504401827921,30820.802813171474554,9661,9581,9116,74041.098490853793919,192836746.961373001337051,124727351.843850314617157,0.0000000
Nutbush Creek-John H. Kerr Reservoir,030101021003,Nutbush Creek-John H Kerr Reservoir,0301010210,Middle Roanoke,03010102,Roanoke,030101,030101021004,41.627272495657181,26641.454393764390261,1726,2207,2700,65968.805776794804842,167147908.144818961620331,107814141.226521134376526,0.0000000
Eastland Creek-John H. Kerr Reservoir,030101021004,Nutbush Creek-John H Kerr Reservoir,0301010210,Middle Roanoke,03010102,Roanoke,030101,030101060201,2.997467376159693,1918.379120493331129,136,190,177,29074.216850742766837,12049497.709119312465191,7763404.363212289288640,0.0000000
Archies Creek-Dan River,030101030102,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030104,9.640321900976643,6169.806015824639871,493,942,787,41045.638130805593391,38756261.926838263869286,24968344.193191085010767,0.0000000
Little Dan River,030101030103,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030104,0.690860586449130,442.150775270082590,31,35,25,11703.945908895246248,2777743.527488389983773,1789322.293542773462832,0.0000000
Elk Creek-Dan River,030101030104,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030105,11.307197991199727,7236.606713429016963,441,582,409,32905.950423412621603,45443290.110900886356831,29285512.023597337305546,2.2581575
Peters Creek-Dan River,030101030105,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030109,23.131704767532607,14804.291049300301893,899,1151,938,53886.565360945118300,92903044.149156793951988,59910840.200332403182983,0.1301177
Big Creek,030101030106,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030109,44.741773258380732,28634.734881648873852,2279,2733,2298,81178.538768958183937,179633907.853853523731232,115880660.799800723791122,0.0000000
Double Creek,030101030107,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030109,13.225666883802631,8464.426804535591145,845,679,836,45229.871453293206287,53027826.750623226165771,34254319.930946223437786,0.0000000
Vade Mecum Creek,030101030108,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030109,17.446613966409348,11165.832937053433852,666,1235,1275,41977.256618681865803,69896189.944365248084068,45186522.702176019549370,7.2752595
Flat Shoals Creek-Dan River,030101030109,Little Dan River-Dan River,0301010301,Upper Dan,03010103,Roanoke,030101,030101030302,44.134539303077325,28246.105150305109419,2002,2490,2264,80967.035884907192667,176872410.167977333068848,114307932.016049697995186,12.6717014
Headwaters Town Fork Creek,030101030201,Town Fork Creek,0301010302,Upper Dan,03010103,Roanoke,030101,030101030202,27.739947201768462,17753.566206828636496,4494,5675,5473,62107.800172456300061,110854367.027023002505302,71846132.865386009216309,1.0817504
Neatman Creek-Town Fork Creek,030101030202,Town Fork Creek,0301010302,Upper Dan,03010103,Roanoke,030101,030101030203,35.131030637682983,22483.859605200264923,6069,7315,7141,90915.773699975397903,140321134.726746201515198,90988952.071620121598244,1.8405899
Town of Walnut Cove-Town Fork Creek,030101030203,Town Fork Creek,0301010302,Upper Dan,03010103,Roanoke,030101,030101030204,49.881151858855027,31923.937185525712266,7325,6854,7454,78327.525636220540036,199191276.580717831850052,129191590.483151838183403,0.0000000
Lick Creek-Town Fork Creek,030101030204,Town Fork Creek,0301010302,Upper Dan,03010103,Roanoke,030101,030101030306,22.420201252993934,14348.928800054623935,3394,3871,3678,52465.401555595235550,89486800.573938339948654,58068054.520874962210655,0.0000000
Snow Creek,030101030301,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030302,43.756822345028382,28004.366297185148142,2361,2521,2115,71868.578712751725107,175615433.639037281274796,113329649.956710934638977,0.1866107
Blackies Branch-Dan River,030101030302,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030306,26.675842237447537,17072.539029751595081,2098,2410,2097,59005.504405389881867,106753854.485945865511894,69090114.268700376152992,0.0000000
Belews Creek-Belews Lake,030101030303,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030304,39.379918201865721,25203.147645924447716,14389,15667,16652,61104.061184572223283,156916219.132401883602142,101993520.154860422015190,0.0000000
Belews Lake,030101030304,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030306,32.664478547418184,20905.266267635590339,4249,5682,5635,80015.785909476122470,130383545.578314766287804,84600609.920713171362877,0.7553830
Big Beaver Island Creek,030101030305,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030306,38.719324420821529,24780.367626111008576,4362,3896,3608,62287.513310197129613,155267060.201298862695694,100282589.841233327984810,0.0000000
Reed Creek-Dan River,030101030306,Belews Lake-Dan River,0301010303,Upper Dan,03010103,Roanoke,030101,030101030503,40.374977397787092,25839.985531231504865,4574,4228,4241,76946.733500182454009,161570067.863897234201431,104570711.485450416803360,0.0000000
Russell Creek,030101030402,Mayo River,0301010304,Upper Dan,03010103,Roanoke,030101,030101030404,1.577908552957757,1009.861473761955040,72,77,68,14878.405076252216531,6343313.063309281133115,4086764.543654168955982,0.0000000
Lower South Mayo River,030101030404,Mayo River,0301010304,Upper Dan,03010103,Roanoke,030101,030101030408,15.897772899647620,10174.574654454525444,598,1001,752,52959.471546710228722,63891343.752516224980354,41175042.649088516831398,0.0090504
Koger Creek-North Mayo River,030101030407,Mayo River,0301010304,Upper Dan,03010103,Roanoke,030101,030101030408,0.021472524331864,13.742415570610058,0,2,2,1319.317618954994032,86326.793771895172540,55613.577492123513366,5.0041981
Pawpaw Creek-Mayo River,030101030408,Mayo River,0301010304,Upper Dan,03010103,Roanoke,030101,030101030409,26.843024578072942,17179.535727737973502,931,2379,2136,60560.305434353256715,107847522.908874794840813,69523114.331923052668571,0.0032914
Town of Mayodan-Mayo River,030101030409,Mayo River,0301010304,Upper Dan,03010103,Roanoke,030101,030101030503,29.423427201058910,18830.993406234749273,6202,5097,4761,68151.156412330499734,118038215.907347083091736,76206326.594419434666634,0.0000000
Hogan Creek,030101030501,Matrimony Creek-Dan River,0301010305,Upper Dan,03010103,Roanoke,030101,030101030503,24.440049206923295,15641.631490401712654,3668,3316,3478,58173.388748982863035,97689533.023821458220482,63299436.727635324001312,0.0000000
Jacobs Creek,030101030502,Matrimony Creek-Dan River,0301010305,Upper Dan,03010103,Roanoke,030101,030101030503,37.543647843348523,24027.934616625898343,2718,3685,3689,59374.371185419906396,150125456.806594341993332,97237601.568384960293770,0.0000000
Massy Creek-Dan River,030101030503,Matrimony Creek-Dan River,0301010305,Upper Dan,03010103,Roanoke,030101,030101030504,27.285139609299488,17462.489347686256224,2292,3873,3686,60787.944944478062098,109323211.312765538692474,70668187.173787057399750,0.0000000
Rock House Creek-Dan River,030101030504,Matrimony Creek-Dan River,0301010305,Upper Dan,03010103,Roanoke,030101,030101030505,42.125637473952800,26960.407979832205456,3552,5196,4971,70509.715255704664742,168731822.599959820508957,109104900.239646270871162,2.9897497
Matrimony Creek-Dan River,030101030505,Matrimony Creek-Dan River,0301010305,Upper Dan,03010103,Roanoke,030101,030101030901,46.822036426935554,29966.103309351237840,13301,10478,10103,64085.466683295831899,188020150.403221666812897,121268517.297504723072052,2.9844279
Marrowbone Creek,030101030802,Lower Smith River,0301010308,Upper Dan,03010103,Roanoke,030101,030101030803,0.079731950603968,51.028448379919269,7,7,7,2918.558447580894153,320545.083988629688974,206504.793347190949135,0.0000000
Fall Creek-Smith River,030101030807,Lower Smith River,0301010308,Upper Dan,03010103,Roanoke,030101,030101030901,10.527622737969681,6737.678551426513877,7462,7589,7194,32954.824929533897375,42301610.441454350948334,27266416.039412841200829,0.0000000
Town Creek-Dan River,030101030901,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030903,35.204198154052705,22530.686815670815122,6043,6437,6359,58220.549804048896476,141271607.050930291414261,91178464.226511448621750,0.0000000
Cascade Creek,030101030902,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030903,9.566745862574209,6122.717351253190827,1994,2498,2351,33898.701195618887141,38448456.035669997334480,24777750.671732578426600,0.0000000
Trotters Creek-Dan River,030101030903,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030906,15.224450437616566,9743.648278810554984,753,1461,1422,42249.925797530129785,61178840.330755427479744,39431144.713468506932259,0.0000000
Upper Wolf Island Creek,030101030904,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030905,28.369163091592906,18156.264376264040038,7979,6333,5983,59928.967829205575981,113640613.562579855322838,73475791.522737786173820,0.0000000
Lower Wolf Island Creek,030101030905,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030906,40.597194853551521,25982.204702902290592,3097,3315,3054,65376.971422784969036,162965491.262230813503265,105146251.931201383471489,0.0000000
City of Danville-Dan River,030101030906,Cascade Creek-Dan River,0301010309,Upper Dan,03010103,Roanoke,030101,030101030907,2.042803572956130,1307.394286522314360,47,190,170,15420.077104385713028,8211036.992346189916134,5290836.751650558784604,0.0000000
Pumpkin Creek-Dan River,030101040102,Hogans Creek-Dan River,0301010401,Lower Dan,03010104,Roanoke,030101,030101040109,6.524652199861680,4175.777407369750108,768,599,536,30744.144764027223573,26222424.660494677722454,16898771.457678981125355,0.0000000
Lick Fork,030101040103,Hogans Creek-Dan River,0301010401,Lower Dan,03010104,Roanoke,030101,030101040104,20.200389086503066,12928.249013684773672,2967,2455,2207,48003.955730177069199,80917567.483304232358932,52318770.927694998681545,0.0000000
Upper Hogans Creek,030101040104,Hogans Creek-Dan River,0301010401,Lower Dan,03010104,Roanoke,030101,030101040105,45.555040748833989,29155.226075471433433,5241,5156,4926,73186.176083359459881,182257719.432514995336533,117987013.670033141970634,0.0000000
Lower Hogans Creek,030101040105,Hogans Creek-Dan River,0301010401,Lower Dan,03010104,Roanoke,030101,030101040109,37.796241641381108,24189.594647345784324,2385,3004,2754,74503.429989694661344,151722976.544056355953217,97891816.890784814953804,0.0987457
Upper Moon Creek,030101040106,Hogans Creek-Dan River,0301010401,Lower Dan,03010104,Roanoke,030101,030101040107,31.615131530616392,20233.684176969563850,1908,1819,1756,52815.429919109337789,126694189.398661404848099,81882814.780798524618149,0.0000000
Lower Moon Creek,030101040107,Hogans Creek-Dan River,0301010401,Lower Dan,03010104,Roanoke,030101,030101040109,17.666514742083535,11306.569433466656847,1356,1229,1147,49409.667551619284495,70905885.407612040638924,45756063.217305533587933,0.0000000
Rattlesnake Creek,030101040108,Hogans Creek-Dan River,0301010401,Lower Dan,03010104,Roanoke,030101,030101040109,24.472015390347181,15662.089847790346539,2482,1552,1466,47020.155302649327496,98170098.402204126119614,63382228.556957431137562,0.0394843
Cane Creek-Dan River,030101040109,Hogans Creek-Dan River,0301010401,Lower Dan,03010104,Roanoke,030101,030101040302,16.759458677947279,10726.053552494764517,535,775,741,45319.844937043308164,67342344.095451653003693,43406798.415262684226036,0.5773860
South Country Line Creek,030101040201,Country Line Creek,0301010402,Lower Dan,03010104,Roanoke,030101,030101040202,44.417177099955452,28426.993340283643192,1652,2019,1995,66400.566475734944106,177599984.314755648374557,115039965.624844878911972,1.0583671
Upper Country Line Creek,030101040202,Country Line Creek,0301010402,Lower Dan,03010104,Roanoke,030101,030101040203,55.421293107847923,35469.627584421185020,2728,3570,3402,91426.331841192004504,221716714.038381338119507,143540490.309900104999542,5.1397419
Lower Country Line Creek,030101040203,Country Line Creek,0301010402,Lower Dan,03010104,Roanoke,030101,030101040302,38.342252852336344,24539.041822311799478,1783,1951,1834,74862.020671984952060,153840196.639750599861145,99305979.110901981592178,1.2034785
Double Creek-Dan River,030101040302,Birch Creek-Dan River,0301010403,Lower Dan,03010104,Roanoke,030101,030101040304,4.601915517264019,2945.225930666886597,308,206,194,22074.623624044870667,18492088.466725062578917,11918906.160783927887678,0.0000000
Winns Creek,030101040303,Birch Creek-Dan River,0301010403,Lower Dan,03010104,Roanoke,030101,030101040304,5.378227194872320,3442.065404271744228,222,292,276,26745.316746582509950,21615413.841864567250013,13929543.981219628825784,0.0000000
Reedy Fork,030101040501,Hyco Lake,0301010405,Lower Dan,03010104,Roanoke,030101,030101040502,16.027621530717976,10257.677778328770728,430,635,634,53054.664090672304155,64194899.483722142875195,41511341.695119909942150,0.0044805
Hyco Creek,030101040502,Hyco Lake,0301010405,Lower Dan,03010104,Roanoke,030101,030101040506,56.789138691004553,36345.048757527853013,2031,2329,2260,94579.643786445754813,226993148.044668048620224,147083196.063868045806885,1.8604624
Upper South Hyco Creek,030101040503,Hyco Lake,0301010405,Lower Dan,03010104,Roanoke,030101,030101040504,29.015982888480583,18570.229046218450094,686,1841,1728,57522.497504462946381,115873565.272041216492653,75151050.942356452345848,0.0000000
Middle South Hyco Creek,030101040504,Hyco Lake,0301010405,Lower Dan,03010104,Roanoke,030101,030101040505,27.391284726105969,17530.422222433589923,1091,2404,2412,54609.841101274148969,109575326.206306859850883,70943102.361305043101311,0.0000000
Lower South Hyco Creek,030101040505,Hyco Lake,0301010405,Lower Dan,03010104,Roanoke,030101,030101040507,24.935798349429305,15958.910941564399764,1528,1559,1490,58018.403075425463612,99925175.712439626455307,64583422.825917668640614,0.0000000
Hyco Creek-Hyco Lake,030101040506,Hyco Lake,0301010405,Lower Dan,03010104,Roanoke,030101,030101040507,20.651179511446731,13216.754885611293503,897,1035,995,52298.774573135262472,82827745.200770676136017,53486308.489349938929081,0.0000000
Cane Creek-Hyco Lake,030101040507,Hyco Lake,0301010405,Lower Dan,03010104,Roanoke,030101,030101040601,22.107555997300800,14148.835836436977843,952,1265,1193,56571.630905096732022,88774431.331559076905251,57258306.845190778374672,0.0000000
After Bay Reservoir-Hyco River,030101040601,Hyco River,0301010406,Lower Dan,03010104,Roanoke,030101,030101040603,15.055907397566035,9635.780733192208572,536,866,817,44609.995395296820789,60477277.480193056166172,38994620.900564603507519,0.0000000
Storys Creek,030101040602,Hyco River,0301010406,Lower Dan,03010104,Roanoke,030101,030101040603,42.503016870695099,27201.930793715946493,11462,9720,9415,72806.576950647999183,170425864.551889270544052,110082308.748752161860466,0.0000000
Bowes Branch-Hyco River,030101040603,Hyco River,0301010406,Lower Dan,03010104,Roanoke,030101,030101040606,16.594548325667436,10620.510927049353995,421,957,905,43180.142260180269659,66657105.801600456237793,42979682.371929079294205,0.0000000
Headwaters Mayo Creek,030101040604,Hyco River,0301010406,Lower Dan,03010104,Roanoke,030101,030101040605,33.434159883038724,21397.862322368830064,2809,2765,2740,59984.656874204381893,133995136.918403550982475,86594076.214453309774399,0.0000000
Mayo Creek-Mayo Reservoir,030101040605,Hyco River,0301010406,Lower Dan,03010104,Roanoke,030101,030101040606,20.852814625942692,13345.801358871965931,814,1378,1383,45015.357830598695728,83746797.296364441514015,54008541.801343351602554,0.0000000
Big Bluewing Creek,030101040607,Hyco River,0301010406,Lower Dan,03010104,Roanoke,030101,030101040608,11.532025320887442,7380.496204410488644,453,734,731,37104.466993006550183,46328422.844550065696239,29867808.235647790133953,0.0000000
Headwaters Aarons Creek,030101040701,Aarons Creek-Dan River,0301010407,Lower Dan,03010104,Roanoke,030101,030101040702,28.137053167616145,18007.714024938184593,741,1328,1241,52945.421951889053162,112943909.492060169577599,72874633.838204681873322,0.0000000
Aarons Creek-John H. Kerr Reservoir,030101040702,Aarons Creek-Dan River,0301010407,Lower Dan,03010104,Roanoke,030101,030101040703,2.320484941197334,1485.110362173629937,86,92,83,20163.197453067605238,9327122.114380322396755,6010027.833288872614503,0.0000000
Newmans Creek-Smith Creek,030101060204,Upper Lake Gaston,0301010602,Roanoke Rapids,03010106,Roanoke,030101,030101060205,31.246612527056083,19997.832014721567248,1294,2100,1900,51405.216001678134489,125417950.122411683201790,80928355.336347401142120,0.0000000
Blue Mud Creek-Smith Creek,030101060205,Upper Lake Gaston,0301010602,Roanoke Rapids,03010106,Roanoke,030101,030101060302,24.177304486617935,15473.474869428098827,2554,1624,1257,46097.899601271179563,97101094.575882613658905,62618929.755575887858868,0.0000000
Hawtree Creek,030101060301,Middle Lake Gaston,0301010603,Roanoke Rapids,03010106,Roanoke,030101,030101060302,25.878433099487335,16562.197181523271865,573,1727,1345,46168.728591753475484,103901635.224473848938942,67024833.924744255840778,0.0000000
Great Creek-Lake Gaston,030101060302,Middle Lake Gaston,0301010603,Roanoke Rapids,03010106,Roanoke,030101,030101060305,1.798244344525042,1150.876380346723636,11,86,90,19280.707067846789869,7229111.934894164092839,4657431.393054317682981,0.0000000
Sixpound Creek,030101060303,Middle Lake Gaston,0301010603,Roanoke Rapids,03010106,Roanoke,030101,030101060305,17.815502207903325,11401.921411578952757,347,882,887,41904.671127262001392,71529580.500540867447853,46141938.126871734857559,0.0000000
Poplar Creek,030101060304,Middle Lake Gaston,0301010603,Roanoke Rapids,03010106,Roanoke,030101,030101060305,0.182629165464826,116.882665882325384,30,7,9,4164.095115916744362,734231.654275715001859,473007.336216747236904,0.0000000
Songbird Creek-Lake Gaston,030101060305,Middle Lake Gaston,0301010603,Roanoke Rapids,03010106,Roanoke,030101,030101060401,32.031393903724705,20500.092095724328829,1024,1297,1352,58691.080904167400149,128624449.450025901198387,82960927.812153413891792,1.1110533
Lizard Creek-Lake Gaston,030101060401,Lower Lake Gaston,0301010604,Roanoke Rapids,03010106,Roanoke,030101,030101060402,32.127771939393206,20561.774038544164796,1888,1270,1202,62234.565516005044628,128955457.421710371971130,83210548.437650442123413,0.0000000
Pea Hill Creek-Lake Gaston,030101060402,Lower Lake Gaston,0301010604,Roanoke Rapids,03010106,Roanoke,030101,030101060404,28.966910224832500,18538.822541487748822,2265,1881,2237,49519.775949994851544,116337086.180722892284393,75023953.372358739376068,0.0000000
Deep Creek,030101060403,Lower Lake Gaston,0301010604,Roanoke Rapids,03010106,Roanoke,030101,030101060404,29.301295138299331,18752.828886078757932,1736,2776,2270,59444.747655849314469,117494045.118680834770203,75890006.074072510004044,0.3199457
Roanoke Rapids Lake,030101060404,Lower Lake Gaston,0301010604,Roanoke Rapids,03010106,Roanoke,030101,030101070101,30.970594950580917,19821.180765800378140,2107,2846,3050,64829.725141894487024,124373657.442347928881645,80213472.539119005203247,0.9146795
City of Roanoke Rapids-Roanoke River,030101070101,Quankey Creek-Roanoke River,0301010701,Lower Roanoke,03010107,Roanoke,030101,030101070103,14.869451669329360,9516.449067136216399,7735,7265,6632,47941.313519651870592,59706367.477380856871605,38511703.003223292529583,0.0000000
Town of Weldon-Chockoyotte Creek,030101070102,Quankey Creek-Roanoke River,0301010701,Lower Roanoke,03010107,Roanoke,030101,030101070103,21.185123678568470,13558.479152524872916,12805,11557,10777,57160.502807833756378,84935373.358863666653633,54869218.391081832349300,0.0000000
Arthurs Creek-Roanoke River,030101070103,Quankey Creek-Roanoke River,0301010701,Lower Roanoke,03010107,Roanoke,030101,030101070105,28.207587092674128,18052.855736969439022,5602,4029,3684,58115.914115104700613,113151233.644654497504234,73057314.809311211109161,1.4012653
Quankey Creek,030101070104,Quankey Creek-Roanoke River,0301010701,Lower Roanoke,03010107,Roanoke,030101,030101070105,34.744327403273523,22236.369535210324102,5031,2837,2676,81108.326760132200434,139115880.282343745231628,89987394.297161370515823,1.5273833
Occoneechee Neck-Roanoke River,030101070105,Quankey Creek-Roanoke River,0301010701,Lower Roanoke,03010107,Roanoke,030101,030101070206,31.608310035822267,20229.318420301893639,2245,2657,2228,70733.146289453317877,126485961.632981061935425,81865147.509045824408531,10.5573769
Occoneechee Creek,030101070201,Conoconnara Swamp-Roanoke River,0301010702,Lower Roanoke,03010107,Roanoke,030101,030101070206,27.264534435594836,17449.302036516990484,347,866,668,76807.253800084130489,109184459.090137571096420,70614819.829774081707001,1.3598846
Gumberry Swamp,030101070202,Conoconnara Swamp-Roanoke River,0301010702,Lower Roanoke,03010107,Roanoke,030101,030101070206,35.514351771697477,22729.185130937719805,929,1128,829,82399.040728309570113,142248786.942037910223007,91981748.840353786945343,0.2420831
Headwaters Conoconnara Swamp,030101070203,Conoconnara Swamp-Roanoke River,0301010702,Lower Roanoke,03010107,Roanoke,030101,030101070204,36.543482530957910,23387.828816778950568,640,1022,885,62448.562448147218674,145824311.478238075971603,94647185.498785480856895,14.1596155
Outlet Conoconnara Swamp,030101070204,Conoconnara Swamp-Roanoke River,0301010702,Lower Roanoke,03010107,Roanoke,030101,030101070206,19.136218899060761,12247.180093810055041,810,512,448,53645.303313314776460,76407138.991487860679626,49562579.300746865570545,8.2368221
Looking Glass Run,030101070205,Conoconnara Swamp-Roanoke River,0301010702,Lower Roanoke,03010107,Roanoke,030101,030101070206,16.509996905738458,10566.398018301830234,205,451,417,43921.431745855115878,65834268.517154559493065,42760695.217663496732712,17.9140644
Bridgers Creek-Roanoke River,030101070206,Conoconnara Swamp-Roanoke River,0301010702,Lower Roanoke,03010107,Roanoke,030101,030101070301,34.104156091692616,21826.659895851691545,1484,1093,789,100707.421492124572978,136187256.878204971551895,88329357.775001078844070,15.3346319
Sandy Run-Roanoke River,030101070301,Kehukee Swamp-Roanoke River,0301010703,Lower Roanoke,03010107,Roanoke,030101,030101070302,31.559489824470969,20198.073485041113599,331,1091,727,65638.965660045127152,125805975.262505307793617,81738704.070826619863510,16.3228836
Flag Run Gut-Roanoke River,030101070302,Kehukee Swamp-Roanoke River,0301010703,Lower Roanoke,03010107,Roanoke,030101,030101070305,22.436563349882761,14359.400542062116074,287,458,338,51852.096939001137798,89291004.910701572895050,58110432.285794891417027,10.0716448
Cypress Swamp,030101070303,Kehukee Swamp-Roanoke River,0301010703,Lower Roanoke,03010107,Roanoke,030101,030101070305,22.476665650333189,14385.066014347059536,41,826,573,50018.440677862919983,89442902.731213048100471,58214296.548599831759930,5.6538572
White Millpond-Kehukee Swamp,030101070304,Kehukee Swamp-Roanoke River,0301010703,Lower Roanoke,03010107,Roanoke,030101,030101070305,32.570186887786058,20844.919605478859012,2549,1197,1065,60866.026382826923509,129599038.670020446181297,84356396.650863409042358,3.2350063
Blue Hole Swamp-Roanoke River,030101070305,Kehukee Swamp-Roanoke River,0301010703,Lower Roanoke,03010107,Roanoke,030101,030101070502,42.711133466310805,27335.125414892718254,97,858,653,75451.484682077032630,169608126.728302747011185,110621328.013649776577950,20.1742687
Smithwick Creek,030101070401,Sweetwater Creek,0301010704,Lower Roanoke,03010107,Roanoke,030101,030101070405,13.814446935223730,8841.246037396209431,605,731,714,36308.263761647664069,54431281.713915631175041,35779252.543734200298786,0.0000000
Ready Branch,030101070402,Sweetwater Creek,0301010704,Lower Roanoke,03010107,Roanoke,030101,030101070405,15.593450952295337,9979.808608174331312,2401,2673,2443,37267.617286459484603,61532465.147052206099033,40386852.368057154119015,0.0000000
Headwaters Hardison Mill Creek,030101070403,Sweetwater Creek,0301010704,Lower Roanoke,03010107,Roanoke,030101,030101070404,45.459390962869861,29094.010212462333584,438,1669,1619,62579.368900938963634,178896325.809914529323578,117739302.831415385007858,0.0000000
Outlet Hardison Mill Creek,030101070404,Sweetwater Creek,0301010704,Lower Roanoke,03010107,Roanoke,030101,030101070405,24.985237959201910,15990.552291814759883,786,1120,1081,58425.215287934755906,98454247.322289496660233,64711468.749775499105453,0.0000000
Sweetwater Creek,030101070405,Sweetwater Creek,0301010704,Lower Roanoke,03010107,Roanoke,030101,030101070509,16.083068347719028,10293.163741204842154,2522,1911,1742,38317.687001327678445,63492818.668750479817390,41654955.045564956963062,0.0000000
Indian Creek,030101070501,Conoho Creek-Roanoke River,0301010705,Lower Roanoke,03010107,Roanoke,030101,030101070502,32.059132203214133,20517.844607395254570,663,575,437,62009.876003157929517,127289832.805702552199364,83032770.342781916260719,13.0374498
Town of Hamilton-Roanoke River,030101070502,Conoho Creek-Roanoke River,0301010705,Lower Roanoke,03010107,Roanoke,030101,030101070503,18.475991353943439,11824.634464989785556,312,343,273,52775.498749000245880,73183228.785743713378906,47852598.705023020505905,55.1164436
Coniott Creek-Roanoke River,030101070503,Conoho Creek-Roanoke River,0301010705,Lower Roanoke,03010107,Roanoke,030101,030101070509,20.903911141316218,13378.503128706779535,271,376,287,56026.628646268138255,82836828.119186997413635,54140881.391519457101822,23.2548351
Etheridge Swamp,030101070504,Conoho Creek-Roanoke River,0301010705,Lower Roanoke,03010107,Roanoke,030101,030101070506,24.404731705398586,15619.028289428832068,489,495,413,48393.123154268716462,96749150.708508685231209,63207970.386343099176884,0.0000000
Upper Conoho Creek,030101070505,Conoho Creek-Roanoke River,0301010705,Lower Roanoke,03010107,Roanoke,030101,030101070506,18.161204022097287,11623.170572634386190,269,397,322,49484.105146932291973,72061013.472727879881859,47037300.225371733307838,0.0000000
Middle Conoho Creek,030101070506,Conoho Creek-Roanoke River,0301010705,Lower Roanoke,03010107,Roanoke,030101,030101070508,24.981045331036110,15987.869009788997573,930,490,413,47364.643293664397788,98930120.453717738389969,64700608.717984504997730,0.0000000
Beaverdam Creek,030101070507,Conoho Creek-Roanoke River,0301010705,Lower Roanoke,03010107,Roanoke,030101,030101070508,15.422865709184403,9870.634052597495611,1624,2237,1996,36800.320385008686571,60934657.204619921743870,39945040.519402943551540,3.6725068
