ProjectID,ProjectNam,ProjectMet,Status,Status_Rea,RiverBasin,CU,HUC,County,Ecoregion,GIS_Acres,Shape_STAr,Shape_STLe,BUFF_DIST,ORIG_FID
92171,Lone Mountain 2 -Phase Two,Design-Bid-Build,Inactive,Long Term Mangement,Broad,03050105,03050105080010,Rutherford,Southern Piedmont,1095.264556379999931,47709724.076099999248981,46443.005498099999386,1.000000000000000,273
92178,Lost Bridge,Design-Bid-Build,Inactive,Long Term Mangement,Little Tennessee,06010202,06010202040030,Macon,Southern Mountains,160.461695719999994,6989711.465719999745488,11784.059978499999488,1.000000000000000,274
234,Louisburg (UT to Tar River),Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101040070,Franklin,Central Piedmont,3.018989840000000,131507.197335000004387,3648.840665619999982,1.000000000000000,275
236,Lowell Mill,Full Delivery,Inactive,Long Term Mangement,Neuse,03020201,03020201180060,Johnston,Northern Inner Coastal Plain,16.591714710000002,722735.092733999947086,7085.076439649999884,1.000000000000000,276
94643,Lyle Creek Mitigation Site,Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101140010,Catawba,Central Piedmont,26.616296640000002,1159405.881460000062361,12740.779202100000475,1.000000000000000,277
239,Mallard Creek,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040105,03040105010040,Mecklenburg,Southern Piedmont,10.078174790000000,439005.294006999989506,5069.804332589999831,1.000000000000000,278
96314,Maney Farm Stream Mitigation Site,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030002,03030002050050,Chatham,Central Piedmont,16.692779860000002,727137.490713999955915,9761.779737749999185,1.000000000000000,279
92231,Manning Farm (G),Full Delivery,Inactive,Long Term Mangement,Tar-Pamlico,03020103,03020103050040,Edgecombe,Northern Inner Coastal Plain,10.000355750000001,435615.496487000025809,4747.390302990000237,1.000000000000000,280
92248,Mark's Creek TESC,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201100020,Wake,Central Piedmont,31.581674280000001,1375697.731570000061765,7454.440678769999977,1.000000000000000,281
97087,Martin Dairy Mitigation Site-Option 2,Full Delivery,Inactive,Long Term Mangement,Neuse,03020201,03020201030030,Orange,Central Piedmont,11.154816540000001,485903.808559999975841,3795.243899930000225,1.000000000000000,282
92633,Martins Creek II,Design-Bid-Build,Inactive,Long Term Mangement,Hiwassee,06020002,06020002170010,Cherokee,Southern Mountains,93.868268540000003,4088901.777600000146776,48491.488442100002430,1.000000000000000,283
241,Mary's Creek,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002050020,Alamance,Central Piedmont,6.808535410000000,296579.802657999971416,4232.170464509999874,1.000000000000000,284
718,Mashoe's Road,Design-Bid-Build,Inactive,Long Term Mangement,Pasquotank,03010205,03010205190010,Dare,Northern Outer Coastal Plain,398.803753540000002,17371891.504299998283386,42266.853986499998427,1.000000000000000,285
92328,Mason Farm,Full Delivery,Inactive,Long Term Mangement,Tar-Pamlico,03020105,03020105030010,Hyde,Northern Outer Coastal Plain,36.079224869999997,1571611.035119999898598,5865.289561569999933,1.000000000000000,286
92009,Mayo River & Buffalo Creek Gorrell,Design-Bid-Build,Inactive,Long Term Mangement,Roanoke,03010103,03010103220020,Rockingham,Central Piedmont,78.226376520000002,3407540.961019999813288,8616.484253020000324,1.000000000000000,287
92010,Mayo River Grogan,Design-Bid-Build,Inactive,Long Term Mangement,Roanoke,03010103,03010103220020,Rockingham,Central Piedmont,81.312776299999996,3541984.535459999926388,9337.840883069999109,1.000000000000000,288
92011,Mayo River Hickory Creek Robertson,Design-Bid-Build,Inactive,Long Term Mangement,Roanoke,03010103,03010103220020,Rockingham,Central Piedmont,166.342685929999988,7245887.398919999599457,12490.968923300000824,1.000000000000000,289
443,McCain Property,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040103,03040103050050,Randolph,Central Piedmont,12.869701550000000,560604.199469999992289,5188.430517220000183,1.000000000000000,290
242,McDonald's Pond,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040201,03040201010020,Richmond,Southern Piedmont,127.862262990000005,5569680.175920000299811,19573.770563199999742,1.000000000000000,291
92604,McGowan Creek,Design-Bid-Build,Active,Active,Neuse,03020201,03020201030020,Orange,Central Piedmont,30.630898219999999,1334281.926290000090376,15741.677435699999478,1.000000000000000,292
243,McIntyre Creek @ Hornets Nest Park,Design-Bid-Build,Inactive,Long Term Mangement,Catawba,03050101,03050101170020,Mecklenburg,Southern Piedmont,17.040767140000000,742295.816642999998294,9640.777621540000837,1.000000000000000,293
244,McIntyre Property,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030005,03030005040010,Brunswick,Southern Outer Coastal Plain,131.117922300000004,5711496.695589999668300,11023.289828900000430,1.000000000000000,294
92573,McKee Creek,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040105,03040105010050,Cabarrus,Southern Piedmont,17.516477470000002,763017.758467999985442,12492.103837399999975,1.000000000000000,295
92141,McNair Tract (Turpentine; LLC)-Aycock Creek,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101010060,Granville,Central Piedmont,211.208704360000013,9200251.161979999393225,23166.508678400001372,1.000000000000000,296
92351,Meadowbranch (Fivemile Branch),Design-Bid-Build,Inactive,Long Term Mangement,Lumber,03040203,03040203080010,Robeson,Southern Inner Coastal Plain,55.401958049999998,2413309.292729999870062,10633.300030700000207,1.000000000000000,297
92706,Meat Camp Creek (Miller site),Design-Bid-Build,Inactive,Long Term Mangement,New,05050001,05050001020020,Watauga,Northern Mountains,0.716864930000000,31221.547481599998719,1325.266568190000044,1.000000000000000,298
247,Meredell Farm Site,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003020010,Randolph,Central Piedmont,55.373306800000002,2412061.244049999862909,29440.633420400001341,1.000000000000000,299
92703,Middle Fork Creek (Phillips/Willis),Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105110020,Madison,Northern Mountains,7.263184700000000,316397.094146999996156,10692.194668199999796,1.000000000000000,300
93875,Middle South Muddy Creek,Design-Bid-Build,Inactive,Long Term Mangement,Catawba,03050101,03050101040020,McDowell,Northern Mountains,41.058420920000003,1788445.789339999901131,18643.902811200001452,1.000000000000000,301
250,Mildred Woods,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020103,03020103010020,Edgecombe,Northern Inner Coastal Plain,598.308625939999956,26062323.745999999344349,42568.018633400002727,1.000000000000000,302
251,Mill Branch,Design-Bid-Build,Inactive,Long Term Mangement,Lumber,03040206,03040206060020,Columbus,Southern Inner Coastal Plain,72.306069469999997,3149652.386189999990165,17650.925848300001235,1.000000000000000,303
253,Mill Creek (formerly Uwharrie Heritage),Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040103,03040103050080,Randolph,Central Piedmont,124.352400560000007,5416874.361859999597073,53364.053860300002270,1.000000000000000,304
92156,Mingo Tract,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040101,03040101010020,Caldwell,Northern Mountains,5648.311855179999839,246040464.412000000476837,216009.949312000011560,1.000000000000000,305
256,Mocassin Creek (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020203,03020203010010,Wake,Central Piedmont,83.109247389999993,3620238.816190000157803,10699.062227000000348,1.000000000000000,306
92212,Moccasin Creek-Buffer (G),Full Delivery,Inactive,Long Term Mangement,Neuse,03020201,03020201160010,Johnston,Northern Inner Coastal Plain,20.515373430000000,893649.666409000055864,8353.754530180000074,1.000000000000000,307
92227,Modlin Site,Full Delivery,Inactive,Long Term Mangement,Roanoke,03010107,03010107150010,Martin,Northern Inner Coastal Plain,41.241146030000003,1796464.321169999893755,6660.690147049999723,1.000000000000000,308
725,Moore Property (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201110070,Johnston,Northern Inner Coastal Plain,84.199711280000002,3667739.423200000077486,8161.539280369999688,1.000000000000000,309
94709,Moores Fork,Design-Bid-Build,Active,Active,Yadkin,03040101,03040101100010,Surry,Central Piedmont,134.323753990000000,5851142.723779999651015,31260.862850800000160,1.000000000000000,310
92527,Morgan Creek,Full Delivery,Inactive,Long Term Mangement,Broad,03050105,03050105040040,McDowell,Northern Mountains,42.614125100000003,1856271.289369999896735,37939.761159299996507,1.000000000000000,311
92240,Morgan Creek (Bolin Stewardship Tract),Design-Bid-Build,Active,Active,Cape Fear,03030002,03030002060070,Orange,Central Piedmont,17.172238830000001,748014.937165000010282,7285.434297859999788,1.000000000000000,312
92531,Morgan Creek (French Broad),Full Delivery,Inactive,Long Term Mangement,French Broad,06010106,06010106020040,Haywood,Southern Mountains,10.242121579999999,446146.815811000007670,8570.830503529999987,1.000000000000000,313
258,Morgan Creek Floodplain,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002060080,Orange,Central Piedmont,31.537762820000001,1373784.948610000079498,6381.599843889999647,1.000000000000000,314
92270,Moye Farm Phase I (G),Full Delivery,Inactive,Long Term Mangement,Neuse,03020203,03020203050040,Greene,Northern Inner Coastal Plain,37.295022619999997,1624571.185220000101253,13093.590714300000400,1.000000000000000,315
259,Moye Farm Phase II (G),Full Delivery,Inactive,Long Term Mangement,Neuse,03020203,03020203070050,Greene,Northern Inner Coastal Plain,49.959246049999997,2176224.757890000008047,29419.191392299999279,1.000000000000000,316
260,Mud Creek,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105030030,Henderson,Southern Mountains,39.133955829999998,1704675.115980000002310,7119.056626139999935,1.000000000000000,317
93482,Mud Lick Creek - Thomas Site,Design-Bid-Build,Active,Active,Cape Fear,03030003,03030003070010,Chatham,Central Piedmont,11.154620720000000,485893.334971999982372,6290.166118510000160,1.000000000000000,318
737,Muddy Creek(Randolph/Duncan Properties),Design-Bid-Build,Inactive,Long Term Mangement,Catawba,03050101,03050101040020,McDowell,Northern Mountains,17.108898140000001,745263.603132999967784,5673.234245290000217,1.000000000000000,319
95354,Muddy Run II Site,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030007,03030007060010,Duplin,Southern Inner Coastal Plain,37.617955770000002,1638638.153369999956340,24877.603590499998973,1.000000000000000,320
95018,Muddy Run Site,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030007,03030007060010,Duplin,Southern Inner Coastal Plain,21.496054010000002,936368.112653000047430,12786.398921100000734,1.000000000000000,321
261,Naked Creek,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040101,03040101010100,Wilkes,Northern Mountains,3.895092180000000,169670.215267999999924,5383.607600420000381,1.000000000000000,322
92179,Needmore Tract,Design-Bid-Build,Inactive,Long Term Mangement,Little Tennessee,06010202,06010202060010,Swain,Southern Mountains,4053.854218959999798,176585948.553999990224838,219973.483663999999408,1.000000000000000,323
92872,Neighbors Br./ Walton Crawley Br.,Design-Bid-Build,Inactive,Long Term Mangement,Catawba,03050101,03050101040010,McDowell,Northern Mountains,33.404680730000003,1455111.991820000112057,19117.255207599999267,1.000000000000000,324
265,Neu-Con MBI (Marston),Full Delivery,Inactive,Credit Purchase Complete,Neuse,03020204,03020204010040,Jones,Southern Outer Coastal Plain,86.109611340000001,3750934.669970000162721,11130.943627099999503,1.000000000000000,325
263,Neu-Con MBI (Nahunta),Full Delivery,Inactive,Credit Purchase Complete,Neuse,03020203,03020203060020,Wayne,Northern Inner Coastal Plain,188.583487149999996,8214696.700079999864101,30306.168557799999689,1.000000000000000,326
92089,New Hope Creek Penny,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002060110,Orange,Central Piedmont,20.145543329999999,877539.867483000038192,4291.280737260000024,1.000000000000000,327
92090,New Hope Creek Trinity School,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002060110,Orange,Central Piedmont,26.497448989999999,1154228.878019999945536,5422.626822680000259,1.000000000000000,328
92173,New River Heights Tract-New River,Design-Bid-Build,Inactive,Long Term Mangement,New,05050001,05050001020070,Ashe,Northern Mountains,109.913131440000001,4787816.005459999665618,9836.379826739999771,1.000000000000000,329
92497,Newfound Creek,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105090020,Buncombe,Southern Mountains,25.274742490000001,1100967.783000000054017,22291.685954299999139,1.000000000000000,330
92151,Newton Tract-White Pines,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003070060,Chatham,Central Piedmont,14.526983120000001,632795.384729000041261,4941.393244199999572,1.000000000000000,331
94150,Newtown Stream and Wetland Restoration Site,Full Delivery,Inactive,Long Term Mangement,Catawba,03050103,03050103030020,Union,Southern Piedmont,16.395180910000001,714174.080637000035495,10504.618597900000168,1.000000000000000,332
441,Nicholls Farm (Troublesome Creek),Design-Bid-Build,Inactive,Long Term Mangement,Chowan,03010203,03010203090040,Bertie,Northern Outer Coastal Plain,76.680572679999997,3340205.746150000020862,16657.810748100000637,1.000000000000000,333
95360,Norkett Branch,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040105,03040105081020,Union,Southern Piedmont,31.604857079999999,1376707.574389999965206,19295.028092699998524,1.000000000000000,334
96310,Norman's Pasture II,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030006,03030006110040,Sampson,Southern Inner Coastal Plain,16.340651579999999,711798.782846000045538,11300.417994100000215,1.000000000000000,335
