,ProjectID,ProjectNam,ProjectMet,Status,Status_Rea,RiverBasin,CU,HUC,County,Ecoregion,GIS_Acres,Shape_STAr,Shape_STLe,BUFF_DIST,ORIG_FID,FREQUENCY,COUNT_ProjectID
100,99,Cox Site,Full Delivery,Inactive,Long Term Mangement,Neuse,03020201,03020201150050,Johnston,Northern Inner Coastal Plain,66.59785913,2901002.74387,14282.7010911,1.0,101,,
106,92269,Daniels Farm,Full Delivery,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101040070,Franklin,Central Piedmont,33.95281703,1478984.70965,6496.59459463,1.0,107,,
110,110,Deaton,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003020060,Randolph,Central Piedmont,13.62873469,593667.683277,9961.57386136,1.0,111,,
112,92091,Deep River Hanson,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003060080,Chatham,Central Piedmont,111.35237624,4850509.50907,12192.1420253,1.0,113,,
116,117,Dismal Swamp,Design-Bid-Build,Inactive,Long Term Mangement,Pasquotank,03010205,03010205090010,Gates,Northern Outer Coastal Plain,611.57101587,26640033.4513,20919.8505814,1.0,117,,
120,92163,Drowning Creek,Design-Bid-Build,Inactive,Long Term Mangement,Lumber,03040203,03040203010111,Moore,Southern Piedmont,779.66343871,33962090.1319,63395.517932,1.0,121,,
121,92121,Drowning Creek IP Forest Investments,Design-Bid-Build,Inactive,Long Term Mangement,Lumber,03040203,03040203010030,Moore,Southern Piedmont,486.05138049,21172478.2088,30508.8173909,1.0,122,,
123,65,Dula Thorofare at Bishop Site,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040104,03040104061050,Anson,Southern Piedmont,120.01001263,5227636.14995,36246.3333475,1.0,124,,
124,92350,Dula Thorofare at Camp Branch,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040105,03040105081060,Anson,Southern Piedmont,95.82277417,4174040.04302,26199.1093893,1.0,125,,
125,92176,DuPont Forest,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105010080,Transylvania,Southern Mountains,2221.94247665,96787814.2831,57586.9610533,1.0,126,,
129,121,Dutchman's Creek,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201110010,Wake,Central Piedmont,84.79773118999998,3693789.1707,10064.9198125,1.0,130,,
137,126,Elk Shoals RFP*,Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101130010,Alexander,Central Piedmont,10.70906291,466486.780575,7615.76055067,1.0,138,,
140,92148,Eno River-Poplar Ridge (Bunting),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201030030,Orange,Central Piedmont,134.44743329,5856530.19391,14244.6777498,1.0,141,,
141,92246,Eno River Cabe's Ford,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201030030,Orange,Central Piedmont,87.41929913,3807984.67017,12804.8692683,1.0,142,,
142,92082,Eno River Penny,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201020040,Durham,Central Piedmont,108.08720248,4708163.66555,10473.0421031,1.0,143,,
143,92147,Eno River Wilderness,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201030030,Orange,Central Piedmont,808.31163996,35210055.0366,42972.7498551,1.0,144,,
146,135,Fisher River Mit. Bank (Ring FDP),Full Delivery,Inactive,Credit Purchase Complete,Yadkin,03040101,03040101090010,Surry,Central Piedmont,96.381369,4198372.43385,9519.56677684,1.0,147,,
156,92185,Five Mile Branch,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040102,03040102010100,Iredell,Central Piedmont,230.44361355,10037980.1063,27267.8196881,1.0,157,,
179,92152,Great Coharie-TNC,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030006,03030006090050,Sampson,Southern Inner Coastal Plain,4704.3126942,204919860.959,254640.565239,1.0,180,,
182,95012,Green Valley Farms Site,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030003,03030003010070,Randolph,Central Piedmont,11.370661,495305.993139,10847.0490249,1.0,183,,
184,153,Gregory,Full Delivery,Inactive,Long Term Mangement,Tar-Pamlico,03020102,03020102050030,Halifax,Northern Inner Coastal Plain,117.66346135,5125420.37652,12396.3319369,1.0,185,,
185,155,Grimesland (Phase II),Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020103,03020103070010,Pitt,Northern Inner Coastal Plain,23.81348661,1037315.47673,5779.76266571,1.0,186,,
186,156,Grimesland Site Phase I,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020103,03020103070010,Pitt,Northern Inner Coastal Plain,534.92600646,23301378.4414,36298.894181,1.0,187,,
193,433,Harris Farm-HQP,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101040070,Franklin,Central Piedmont,588.77782517,25647162.0645,112579.994053,1.0,194,,
194,719,Haw's Run,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030007,03030007100020,Pender,Southern Outer Coastal Plain,590.58089294,25725703.6964,31108.1295427,1.0,195,,
195,167,Haw Branch,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030007,03030007080010,Onslow,Southern Outer Coastal Plain,51.82603822,2257542.22486,11297.6034308,1.0,196,,
196,92150,Haw River-Cone Swamp-Phillips,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002010020,Guilford,Central Piedmont,75.82386724,3302909.26804,10213.6475765,1.0,197,,
197,92149,Haw River-Duke Forest,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002060040,Chatham,Central Piedmont,1227.10042043,53452494.3138,100217.416343,1.0,198,,
199,92238,Haw River Swamp I,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030002,03030002010020,Rockingham,Central Piedmont,22.00817315,958676.0225350001,9416.95100915,1.0,200,,
201,170,Heath Dairy Road,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040103,03040103050050,Randolph,Central Piedmont,56.79080999,2473859.34051,16347.6719953,1.0,202,,
203,172,Helms,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040105,03040105020050,Rowan,Central Piedmont,9.51219173,414351.071753,4905.98012379,1.0,204,,
204,173,Hendersonville Wetlands,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105030020,Henderson,Southern Mountains,13.99917094,609805.773457,3457.11031094,1.0,205,,
211,95355,Hofler Property,Full Delivery,Inactive,Long Term Mangement,Chowan,03010203,03010203040040,Gates,Northern Outer Coastal Plain,27.04609508,1178127.90187,4705.86605206,1.0,212,,
221,184,Huskanaw Swamp,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020103,03020103090010,Martin,Northern Inner Coastal Plain,115.77405961,5043118.03658,10088.9075027,1.0,222,,
228,198,Jones Creek,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040201,03040201020030,Anson,Southern Piedmont,104.09022625,4534170.25551,11947.4869417,1.0,229,,
230,199,Jumping Run Creek,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030004,03030004090010,Harnett,Southern Inner Coastal Plain,69.20883625,3014736.90708,7453.85753542,1.0,231,,
236,206,Key Branch,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040104,03040104061010,Anson,Southern Piedmont,119.27849052,5195771.0469,12115.709589,1.0,237,,
240,92136,Langley Site-Cypress Creek,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101070010,Franklin,Central Piedmont,40.26504365,1753945.3015,9612.25620263,1.0,241,,
241,92707,Laxon Creek(Racey site),Design-Bid-Build,Inactive,Long Term Mangement,New,05050001,05050001020020,Watauga,Northern Mountains,1.42646336,62136.744091,2347.4400072,1.0,242,,
245,219,Lick Creek,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030004,03030004010010,Lee,Southern Piedmont,53.86519482,2346367.88656,13414.050575,1.0,246,,
246,92166,Linville River-White Creek,Design-Bid-Build,Inactive,Long Term Mangement,Catawba,03050101,03050101030030,Burke,Northern Mountains,1425.37566527,62089363.9794,56582.2749784,1.0,247,,
250,224,Little Grassy Creek,Design-Bid-Build,Inactive,Long Term Mangement,Roanoke,03010102,03010102161020,Granville,Central Piedmont,84.69195241,3689181.44696,40266.040984,1.0,251,,
251,92651,Little Ivy Creek (Barnhill Site),Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105110020,Madison,Northern Mountains,2.76827986,120586.270561,3098.05161405,1.0,252,,
263,92177,Little Table Rock 1,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010108,06010108010020,Mitchell,Northern Mountains,478.20459979,20830592.3669,29592.629403,1.0,264,,
264,92169,Little Table Rock 2,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010108,06010108010030,McDowell,Northern Mountains,66.30974743,2888452.5981,13362.9700108,1.0,265,,
271,92168,Lone Mountain 1 -Phase Two,Design-Bid-Build,Inactive,Long Term Mangement,Broad,03050105,03050105060020,McDowell,Northern Mountains,166.62889951,7258354.86276,21158.5411575,1.0,272,,
272,92171,Lone Mountain 2 -Phase Two,Design-Bid-Build,Inactive,Long Term Mangement,Broad,03050105,03050105080010,Rutherford,Southern Piedmont,1095.26455638,47709724.0761,46443.0054981,1.0,273,,
273,92178,Lost Bridge,Design-Bid-Build,Inactive,Long Term Mangement,Little Tennessee,06010202,06010202040030,Macon,Southern Mountains,160.46169572,6989711.46572,11784.0599785,1.0,274,,
275,236,Lowell Mill,Full Delivery,Inactive,Long Term Mangement,Neuse,03020201,03020201180060,Johnston,Northern Inner Coastal Plain,16.59171471,722735.0927339998,7085.07643965,1.0,276,,
277,239,Mallard Creek,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040105,03040105010040,Mecklenburg,Southern Piedmont,10.07817479,439005.294007,5069.80433259,1.0,278,,
281,97087,Martin Dairy Mitigation Site-Option 2,Full Delivery,Inactive,Long Term Mangement,Neuse,03020201,03020201030030,Orange,Central Piedmont,11.15481654,485903.80856,3795.24389993,1.0,282,,
284,718,Mashoe's Road,Design-Bid-Build,Inactive,Long Term Mangement,Pasquotank,03010205,03010205190010,Dare,Northern Outer Coastal Plain,398.80375354,17371891.5043,42266.8539865,1.0,285,,
